year,state,population,%,male,female,sex ratio,urban pop.,rural pop.,area(sq km),pop. Density 
2017,Jammu & Kashmir,12999,1,6837,6162,901,"3,770",9229,42241,308
2017,Himachal Pradesh,7206,0.55,3654,3551,972,733,6473,55673,129
2017,Punjab,29380,2.25,15467,13913,900,"11,650",17730,50362,583
2017,Uttarakhand,10884,0.83,5565,5319,956,"3,600",7284,53483,204
2017,Haryana,27861,2.13,14793,13068,883,"10,737",17124,44212,630
2017,Delhi,19056,1.46,10177,8879,872,"18,824",232,1483,12850
2017,Rajasthan,75248,5.76,38834,36414,938,"19,380",55868,342239,220
2017,Uttar Pradesh,219051,16.78,114316,104735,916,"50,731",168320,240928,909
2017,Bihar,115957,8.88,60381,55577,920,"13,678",102279,94164,1231
2017,Assam,33543,2.57,17100,16443,962,"4,975",28568,78438,428
2017,West Bengal,95688,7.33,48944,46744,955,"32,829",62859,88752,1078
2017,Jharkhand,36334,2.78,18629,17705,950,"9,131",27203,79714,456
2017,Odisha,44312,3.39,22344,21968,983,"7,865",36447,160205,277
2017,Chhattisgarh,27956,2.14,14026,13930,993,"7,044",20912,135191,207
2017,Madhya Pradesh,79948,6.12,41312,38637,935,"22,647",57301,308245,259
2017,Gujarat,40907,3.13,34577,31507,911,"24,318",16589,196024,209
2017,Maharashtra,119869,9.18,62260,57609,925,"56,205",63664,307713,390
2017,Andhra Pradesh,51655,3.96,25849,25806,998,"17,001",34654,160205,322
2017,Karnataka,64752,4.96,32836,31916,972,"26,897",37855,191791,338
2017,Kerala,34761,2.66,16684,18077,1083,"21,524",13237,38863,894
2017,Tamil Nadu,74989,5.74,37506,37482,999,"38,265",36724,130058,577
2017,Telangana,36714,2.81,18472,18242,988,"15,987",20727,112077,328
2018,Jammu & Kashmir,13101,0.99,6885,6216,903,"3,833",9268,42241,310
2018,Himachal Pradesh,7253,0.55,3678,3574,972,739,6514,55673,130
2018,Punjab,29619,2.24,15586,14034,900,"11,852",17767,50362,588
2018,Uttarakhand,11013,0.83,5634,5379,955,"3,694",7319,53483,206
2018,Haryana,28266,2.14,15000,13266,884,"11,063",17203,44212,639
2018,Delhi,19435,1.47,10373,9061,874,"19,229",206,1483,13105
2018,Rajasthan,76256,5.78,39318,36938,939,"19,750",56506,342239,223
2018,Uttar Pradesh,222015,16.82,115823,106192,917,"51,742",170273,240928,921
2018,Bihar,117739,8.92,61289,56450,921,"13,985",103754,94164,1250
2018,Assam,33918,2.57,17286,16632,962,"5,072",28846,78438,432
2018,West Bengal,96297,7.3,49232,47066,956,"33,432",62865,88752,1085
2018,Jharkhand,36869,2.79,18897,17972,951,"9,330",27539,79714,463
2018,Odisha,44658,3.38,22509,22149,984,"8,006",36652,160205,279
2018,Chhattisgarh,28340,2.15,14218,14122,993,"7,232",21108,135191,210
2018,Madhya Pradesh,81090,6.14,41886,39204,936,"23,061",58029,308245,263
2018,Gujarat,67010,5.08,35083,31927,910,"30,978",36032,196024,342
2018,Maharashtra,121011,9.17,62870,58140,925,"57,073",63938,307713,393
